#Geant4 simulation output for BC422Q-0.5 crystals of size 4x1x1cm
#stop	#start	
4092	334
4086	330
4062	320
4050	318
3988	308
3870	308
3798	306
3780	288
3772	282
3612	280
3600	278
3576	278
3456	272
3438	266
3438	262
3332	252
3244	240
3174	230
3148	226
3144	224
3136	218
3104	216
3078	216
3026	208
3020	204
2920	186
2808	182
2774	180
2674	180
2666	180
2654	180
2638	170
2594	164
2560	162
2548	160
2512	160
2458	160
2438	160
2414	158
2398	158
2384	148
2374	146
2350	142
2340	142
2326	132
2316	122
2310	120
2292	118
2270	118
2270	116
2246	116
2242	114
2228	114
2218	112
2214	110
2210	106
2210	104
2196	104
2184	102
2180	102
2180	102
2134	98
2122	98
2120	98
2118	96
2100	96
2084	96
2038	94
2016	94
1948	92
1706	92
1682	90
1436	88
1218	88
1096	86
920	86
742	86
644	86
602	84
562	84
512	82
404	82
390	82
276	82
254	82
244	80
226	80
194	80
136	80
122	78
118	78
98	78
78	78
62	78
58	76
44	76
38	74
28	74
24	74
22	74
20	72
18	72
18	72
14	72
12	70
12	70
10	70
10	70
10	70
6	70
6	70
6	68
6	68
4	68
4	68
4	68
4	68
2	66
2	66
2	66
2	66
2	66
2	66
0	66
0	66
0	66
0	66
0	66
0	64
0	64
0	64
0	64
0	64
0	64
0	62
0	62
0	62
0	62
0	62
0	62
0	62
0	62
0	62
0	62
0	60
0	60
0	60
0	60
0	60
0	60
0	60
0	58
0	58
0	58
0	58
0	58
0	58
0	56
0	56
0	56
0	56
0	56
0	56
0	56
0	56
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	54
0	52
0	52
0	52
0	52
0	52
0	52
0	52
0	52
0	52
0	52
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	48
0	48
0	48
0	48
0	48
0	48
0	48
0	48
0	48
0	48
0	48
0	48
0	46
0	46
0	46
0	46
0	46
0	46
0	46
0	46
0	44
0	44
0	44
0	44
0	44
0	44
0	42
0	42
0	42
0	42
0	42
0	42
0	42
0	42
0	42
0	42
0	40
0	40
0	40
0	38
0	38
0	36
0	36
0	34
0	34
0	32
0	32
0	32
0	32
0	30
0	30
0	28
0	28
0	28
0	26
0	26
0	24
0	22
0	16
0	14
0	12
0	10
0	8
0	8
0	8
0	6
0	6
0	2
0	2
0	2
